"SourcePath","ArchivedPath","SizeBytes","LastWriteTime","SHA256"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\after-interaction.png","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\after-interaction.png","784969","2026-08-11T16:09:04","EAFEF0C36E82A42B6BFBDB76C2BA1D644EB76D43150032B28793009073A1A9F9"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\before.png","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\before.png","734065","2026-08-11T16:09:02","AE7EEFEA83DFB1107738E24110A2394256AEAFF5923EA17794F85547EEE8B570"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\extract.py","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\extract.py","1213","2026-08-11T18:53:14","408853F0E2ABC2C10F93D868019D5AB9E6E12362AFA7DC5F71F414DD9FFCB9FB"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\extract_objects.py","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\extract_objects.py","1537","2026-08-11T19:26:31","E904EE547376228873BB23A4421841C1B859305D42F8959B82D12231EF7AE13C"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\extracted\scene.json","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\extracted\scene.json","131901","2026-08-11T18:53:19","3C7B7BA622B02FEF9875A55AC83515A99446BBD0189E61561535E0841EDD46CB"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\header_hex.txt","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\header_hex.txt","1024","2026-08-11T18:42:01","7E1533A6F8C3E57619CA7CB779898447B7239E68011356D2531D2652F4B1FE6F"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\logo-bevel-diagnostics\bevel-after-attempt.png","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\logo-bevel-diagnostics\bevel-after-attempt.png","99875","2026-08-11T17:25:12","F1BBBC35CAAD40EEC180E7EB42369481FD34B9C4F80695011E525DC5783FE534"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\logo-bevel-diagnostics\bevel-before.png","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\logo-bevel-diagnostics\bevel-before.png","93518","2026-08-11T17:25:12","4D4093DFE208D1512167BE887F0DCA223CF59AD9059D93C6B0DB5FEE81BC728B"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\logo-bevel-diagnostics\bevel-before-after.png","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\logo-bevel-diagnostics\bevel-before-after.png","197358","2026-08-11T17:26:31","197974B026A375DA1097D53918D6F202A381B98B5692C150AB67F2114C85916B"
"C:\Users\PC Profile\Desktop\PROAI_SPLINE_PREMIUM_R1\out\logo-bevel-diagnostics\bevel-internal-test-report.json","docs\site-evolution\spline\recovery-dump\chat-2\desktop_PROAI_SPLINE_PREMIUM_R1_out\logo-bevel-diagnostics\bevel-internal-test-report.json","1058","2026-08-11T17:25:53","A0B08B19F827E589EF78DD833EDEF7D2E2981DC917E6B6981C3D83433FA0EFE2"
